)0+_06 Small-body initial data (WARNING: Do not delete this line!!)
style   Asteroid
1148  d 3.0  m 4.76290175335e-08
1149  d 3.0  m 4.76290175335e-08
1150  d 3.0  m 4.97332399534e-08
1151  d 3.0  m 4.97332399534e-08
1152  d 3.0  m 4.97332399534e-08
1153  d 3.0  m 4.97332399534e-08
1154  d 3.0  m 4.97332399534e-08
1155  d 3.0  m 4.97332399534e-08
1156  d 3.0  m 4.97332399534e-08
1157  d 3.0  m 4.97332399534e-08
1158  d 3.0  m 4.97332399534e-08
1159  d 3.0  m 4.97332399534e-08
1160  d 3.0  m 3.74217900219e-08
1161  d 3.0  m 3.74217900219e-08
1162  d 3.0  m 3.74217900219e-08
1163  d 3.0  m 3.74217900219e-08
1164  d 3.0  m 3.74217900219e-08
1165  d 3.0  m 3.74217900219e-08
1166  d 3.0  m 3.74217900219e-08
1167  d 3.0  m 3.74217900219e-08
1168  d 3.0  m 3.74217900219e-08
1169  d 3.0  m 3.74217900219e-08
1170  d 3.0  m 3.71805222265e-08
1171  d 3.0  m 3.71805222265e-08
1172  d 3.0  m 3.71805222265e-08
1173  d 3.0  m 3.71805222265e-08
1174  d 3.0  m 3.71805222265e-08
1175  d 3.0  m 3.71805222265e-08
1176  d 3.0  m 3.71805222265e-08
1177  d 3.0  m 3.71805222265e-08
1178  d 3.0  m 3.71805222265e-08
1179  d 3.0  m 3.71805222265e-08
1180  d 3.0  m 4.69830596306e-08
1181  d 3.0  m 4.69830596306e-08
1182  d 3.0  m 4.69830596306e-08
1183  d 3.0  m 4.69830596306e-08
1184  d 3.0  m 4.69830596306e-08
1185  d 3.0  m 4.69830596306e-08
1186  d 3.0  m 4.69830596306e-08
1187  d 3.0  m 4.69830596306e-08
1188  d 3.0  m 4.69830596306e-08
1189  d 3.0  m 4.69830596306e-08
1190  d 3.0  m 4.08703670935e-08
1191  d 3.0  m 4.08703670935e-08
1192  d 3.0  m 4.08703670935e-08
1193  d 3.0  m 4.08703670935e-08
1194  d 3.0  m 4.08703670935e-08
1195  d 3.0  m 4.08703670935e-08
1196  d 3.0  m 4.08703670935e-08
1197  d 3.0  m 4.08703670935e-08
1198  d 3.0  m 4.08703670935e-08
  0.258481109695  5.71406374485e-05  0.872410653195  188.966791453  32.3448172954  256.985127158  0  0  0
1199  d 3.0  m 4.08703670935e-08
1200  d 3.0  m 5.5522581976e-08
1201  d 3.0  m 5.5522581976e-08
1202  d 3.0  m 5.5522581976e-08
1203  d 3.0  m 5.5522581976e-08
1204  d 3.0  m 5.5522581976e-08
1205  d 3.0  m 5.5522581976e-08
1206  d 3.0  m 5.5522581976e-08
1207  d 3.0  m 5.5522581976e-08
1208  d 3.0  m 5.5522581976e-08
1209  d 3.0  m 5.5522581976e-08
1210  d 3.0  m 5.01335083407e-08
1211  d 3.0  m 5.01335083407e-08
1212  d 3.0  m 5.01335083407e-08
1213  d 3.0  m 5.01335083407e-08
1214  d 3.0  m 5.01335083407e-08
1215  d 3.0  m 5.01335083407e-08
1216  d 3.0  m 5.01335083407e-08
1217  d 3.0  m 5.01335083407e-08
1218  d 3.0  m 5.01335083407e-08
1219  d 3.0  m 5.01335083407e-08
  0.343596412618  7.39629273297e-05  0.597287968454  124.037050915  226.191038125  332.315882182  0  0  0
1220  d 3.0  m 7.13305312454e-08
1221  d 3.0  m 7.13305312454e-08
1222  d 3.0  m 7.13305312454e-08
1223  d 3.0  m 7.13305312454e-08
1224  d 3.0  m 7.13305312454e-08
1225  d 3.0  m 7.13305312454e-08
1226  d 3.0  m 7.13305312454e-08
1227  d 3.0  m 7.13305312454e-08
1228  d 3.0  m 7.13305312454e-08
1229  d 3.0  m 7.13305312454e-08
1230  d 3.0  m 7.12037275141e-08
1231  d 3.0  m 7.12037275141e-08
1232  d 3.0  m 7.12037275141e-08
1233  d 3.0  m 7.12037275141e-08
1234  d 3.0  m 7.12037275141e-08
1235  d 3.0  m 7.12037275141e-08
1236  d 3.0  m 7.12037275141e-08
1237  d 3.0  m 7.12037275141e-08
1238  d 3.0  m 7.12037275141e-08
1239  d 3.0  m 7.12037275141e-08
1240  d 3.0  m 8.47355992105e-08
1241  d 3.0  m 8.47355992105e-08
1242  d 3.0  m 8.47355992105e-08
1243  d 3.0  m 8.47355992105e-08
1244  d 3.0  m 8.47355992105e-08
1245  d 3.0  m 8.47355992105e-08
1246  d 3.0  m 8.47355992105e-08
1247  d 3.0  m 8.47355992105e-08
1248  d 3.0  m 8.47355992105e-08
1249  d 3.0  m 8.47355992105e-08
1250  d 3.0  m 1.02395926808e-07
1251  d 3.0  m 1.02395926808e-07
1252  d 3.0  m 1.02395926808e-07
1253  d 3.0  m 1.02395926808e-07
1254  d 3.0  m 1.02395926808e-07
1255  d 3.0  m 1.02395926808e-07
1256  d 3.0  m 1.02395926808e-07
1257  d 3.0  m 1.02395926808e-07
1258  d 3.0  m 1.02395926808e-07
1259  d 3.0  m 1.02395926808e-07
1260  d 3.0  m 7.56407189182e-08
1261  d 3.0  m 7.56407189182e-08
1262  d 3.0  m 7.56407189182e-08
1263  d 3.0  m 7.56407189182e-08
1264  d 3.0  m 7.56407189182e-08
1265  d 3.0  m 7.56407189182e-08
1266  d 3.0  m 7.56407189182e-08
1267  d 3.0  m 7.56407189182e-08
1268  d 3.0  m 7.56407189182e-08
1269  d 3.0  m 7.56407189182e-08
1270  d 3.0  m 7.68749241017e-08
1271  d 3.0  m 7.68749241017e-08
1272  d 3.0  m 7.68749241017e-08
1273  d 3.0  m 7.68749241017e-08
1274  d 3.0  m 7.68749241017e-08
1275  d 3.0  m 7.68749241017e-08
1276  d 3.0  m 7.68749241017e-08
1277  d 3.0  m 7.68749241017e-08
1278  d 3.0  m 7.68749241017e-08
1279  d 3.0  m 7.68749241017e-08
1280  d 3.0  m 1.27447483315e-07
1281  d 3.0  m 1.27447483315e-07
1282  d 3.0  m 1.27447483315e-07
1283  d 3.0  m 1.27447483315e-07
1284  d 3.0  m 1.27447483315e-07
1285  d 3.0  m 1.27447483315e-07
1286  d 3.0  m 1.27447483315e-07
1287  d 3.0  m 1.27447483315e-07
1288  d 3.0  m 1.27447483315e-07
1289  d 3.0  m 1.27447483315e-07
1290  d 3.0  m 1.01846761727e-07
1291  d 3.0  m 1.01846761727e-07
1292  d 3.0  m 1.01846761727e-07
1293  d 3.0  m 1.01846761727e-07
1294  d 3.0  m 1.01846761727e-07
1295  d 3.0  m 1.01846761727e-07
1296  d 3.0  m 1.01846761727e-07
1297  d 3.0  m 1.01846761727e-07
1298  d 3.0  m 1.01846761727e-07
1299  d 3.0  m 1.01846761727e-07
1300  d 3.0  m 1.24057132527e-07
1301  d 3.0  m 1.24057132527e-07
1302  d 3.0  m 1.24057132527e-07
1303  d 3.0  m 1.24057132527e-07
1304  d 3.0  m 1.24057132527e-07
1305  d 3.0  m 1.24057132527e-07
1306  d 3.0  m 1.24057132527e-07
1307  d 3.0  m 1.24057132527e-07
1308  d 3.0  m 1.24057132527e-07
1309  d 3.0  m 1.24057132527e-07
