)0+_06 Small-body initial data (WARNING: Do not delete this line!!)
style   Asteroid
p055  d 3.0  m 8.53162949119e-09
p056  d 3.0  m 8.53162949119e-09
p057  d 3.0  m 8.53162949119e-09
p058  d 3.0  m 8.53162949119e-09
p059  d 3.0  m 8.53162949119e-09
p060  d 3.0  m 1.11754741503e-08
p061  d 3.0  m 1.11754741503e-08
p062  d 3.0  m 1.11754741503e-08
p063  d 3.0  m 1.11754741503e-08
p064  d 3.0  m 1.11754741503e-08
p065  d 3.0  m 1.11754741503e-08
p066  d 3.0  m 1.11754741503e-08
p067  d 3.0  m 1.11754741503e-08
p068  d 3.0  m 1.11754741503e-08
p069  d 3.0  m 1.11754741503e-08
p070  d 3.0  m 1.01973334447e-08
p071  d 3.0  m 1.01973334447e-08
p072  d 3.0  m 1.01973334447e-08
p073  d 3.0  m 1.01973334447e-08
p074  d 3.0  m 1.01973334447e-08
p075  d 3.0  m 1.01973334447e-08
p076  d 3.0  m 1.01973334447e-08
p077  d 3.0  m 1.01973334447e-08
p078  d 3.0  m 1.01973334447e-08
p079  d 3.0  m 1.01973334447e-08
p080  d 3.0  m 1.40145694035e-08
p081  d 3.0  m 1.40145694035e-08
p082  d 3.0  m 1.40145694035e-08
p083  d 3.0  m 1.40145694035e-08
p084  d 3.0  m 1.40145694035e-08
p085  d 3.0  m 1.40145694035e-08
p086  d 3.0  m 1.40145694035e-08
p087  d 3.0  m 1.40145694035e-08
p088  d 3.0  m 1.40145694035e-08
p089  d 3.0  m 1.40145694035e-08
p090  d 3.0  m 1.6427677261e-08
p091  d 3.0  m 1.6427677261e-08
p092  d 3.0  m 1.6427677261e-08
p093  d 3.0  m 1.6427677261e-08
p094  d 3.0  m 1.6427677261e-08
p095  d 3.0  m 1.6427677261e-08
p096  d 3.0  m 1.6427677261e-08
p097  d 3.0  m 1.6427677261e-08
p098  d 3.0  m 1.6427677261e-08
p099  d 3.0  m 1.6427677261e-08
p100  d 3.0  m 1.43206259674e-08
p101  d 3.0  m 1.43206259674e-08
p102  d 3.0  m 1.43206259674e-08
p103  d 3.0  m 1.43206259674e-08
p104  d 3.0  m 1.43206259674e-08
p105  d 3.0  m 1.43206259674e-08
p106  d 3.0  m 1.43206259674e-08
p107  d 3.0  m 1.43206259674e-08
p108  d 3.0  m 1.43206259674e-08
p109  d 3.0  m 1.43206259674e-08
p110  d 3.0  m 1.68844573387e-08
p111  d 3.0  m 1.68844573387e-08
p112  d 3.0  m 1.68844573387e-08
p113  d 3.0  m 1.68844573387e-08
p114  d 3.0  m 1.68844573387e-08
p115  d 3.0  m 1.68844573387e-08
p116  d 3.0  m 1.68844573387e-08
p117  d 3.0  m 1.68844573387e-08
p118  d 3.0  m 1.68844573387e-08
p119  d 3.0  m 1.68844573387e-08
p120  d 3.0  m 1.08908382945e-08
p121  d 3.0  m 1.08908382945e-08
p122  d 3.0  m 1.08908382945e-08
p123  d 3.0  m 1.08908382945e-08
p124  d 3.0  m 1.08908382945e-08
p125  d 3.0  m 1.08908382945e-08
p126  d 3.0  m 1.08908382945e-08
p127  d 3.0  m 1.08908382945e-08
p128  d 3.0  m 1.08908382945e-08
p129  d 3.0  m 1.08908382945e-08
p130  d 3.0  m 1.25054272342e-08
p131  d 3.0  m 1.25054272342e-08
p132  d 3.0  m 1.25054272342e-08
p133  d 3.0  m 1.25054272342e-08
p134  d 3.0  m 1.25054272342e-08
p135  d 3.0  m 1.25054272342e-08
p136  d 3.0  m 1.25054272342e-08
p137  d 3.0  m 1.25054272342e-08
p138  d 3.0  m 1.25054272342e-08
p139  d 3.0  m 1.25054272342e-08
p140  d 3.0  m 1.37876810862e-08
p141  d 3.0  m 1.37876810862e-08
p142  d 3.0  m 1.37876810862e-08
p143  d 3.0  m 1.37876810862e-08
p144  d 3.0  m 1.37876810862e-08
p145  d 3.0  m 1.37876810862e-08
p146  d 3.0  m 1.37876810862e-08
p147  d 3.0  m 1.37876810862e-08
p148  d 3.0  m 1.37876810862e-08
p149  d 3.0  m 1.37876810862e-08
p150  d 3.0  m 1.71880373959e-08
p151  d 3.0  m 1.71880373959e-08
p152  d 3.0  m 1.71880373959e-08
p153  d 3.0  m 1.71880373959e-08
p154  d 3.0  m 1.71880373959e-08
p155  d 3.0  m 1.71880373959e-08
p156  d 3.0  m 1.71880373959e-08
p157  d 3.0  m 1.71880373959e-08
p158  d 3.0  m 1.71880373959e-08
p159  d 3.0  m 1.71880373959e-08
p160  d 3.0  m 1.75791147483e-08
p161  d 3.0  m 1.75791147483e-08
p162  d 3.0  m 1.75791147483e-08
p163  d 3.0  m 1.75791147483e-08
p164  d 3.0  m 1.75791147483e-08
p165  d 3.0  m 1.75791147483e-08
p166  d 3.0  m 1.75791147483e-08
p167  d 3.0  m 1.75791147483e-08
p168  d 3.0  m 1.75791147483e-08
p169  d 3.0  m 1.75791147483e-08
p170  d 3.0  m 2.41158371186e-08
p171  d 3.0  m 2.41158371186e-08
p172  d 3.0  m 2.41158371186e-08
p173  d 3.0  m 2.41158371186e-08
p174  d 3.0  m 2.41158371186e-08
p175  d 3.0  m 2.41158371186e-08
p176  d 3.0  m 2.41158371186e-08
p177  d 3.0  m 2.41158371186e-08
p178  d 3.0  m 2.41158371186e-08
p179  d 3.0  m 2.41158371186e-08
p180  d 3.0  m 2.52648986874e-08
p181  d 3.0  m 2.52648986874e-08
p182  d 3.0  m 2.52648986874e-08
p183  d 3.0  m 2.52648986874e-08
p184  d 3.0  m 2.52648986874e-08
p185  d 3.0  m 2.52648986874e-08
p186  d 3.0  m 2.52648986874e-08
p187  d 3.0  m 2.52648986874e-08
p188  d 3.0  m 2.52648986874e-08
p189  d 3.0  m 2.52648986874e-08
p190  d 3.0  m 2.80175781018e-08
p191  d 3.0  m 2.80175781018e-08
p192  d 3.0  m 2.80175781018e-08
p193  d 3.0  m 2.80175781018e-08
p194  d 3.0  m 2.80175781018e-08
p195  d 3.0  m 2.80175781018e-08
p196  d 3.0  m 2.80175781018e-08
p197  d 3.0  m 2.80175781018e-08
p198  d 3.0  m 2.80175781018e-08
p199  d 3.0  m 2.80175781018e-08
p200  d 3.0  m 2.55892322708e-08
p201  d 3.0  m 2.55892322708e-08
p202  d 3.0  m 2.55892322708e-08
p203  d 3.0  m 2.55892322708e-08
p204  d 3.0  m 2.55892322708e-08
p205  d 3.0  m 2.55892322708e-08
p206  d 3.0  m 2.55892322708e-08
p207  d 3.0  m 2.55892322708e-08
p208  d 3.0  m 2.55892322708e-08
p209  d 3.0  m 2.55892322708e-08
p210  d 3.0  m 2.27723459166e-08
p211  d 3.0  m 2.27723459166e-08
p212  d 3.0  m 2.27723459166e-08
p213  d 3.0  m 2.27723459166e-08
p214  d 3.0  m 2.27723459166e-08
p215  d 3.0  m 2.27723459166e-08
p216  d 3.0  m 2.27723459166e-08
p217  d 3.0  m 2.27723459166e-08
p218  d 3.0  m 2.27723459166e-08
p219  d 3.0  m 2.27723459166e-08
p220  d 3.0  m 2.51688353915e-08
p221  d 3.0  m 2.51688353915e-08
p222  d 3.0  m 2.51688353915e-08
p223  d 3.0  m 2.51688353915e-08
p224  d 3.0  m 2.51688353915e-08
p225  d 3.0  m 2.51688353915e-08
p226  d 3.0  m 2.51688353915e-08
p227  d 3.0  m 2.51688353915e-08
p228  d 3.0  m 2.51688353915e-08
p229  d 3.0  m 2.51688353915e-08
p230  d 3.0  m 3.34540300763e-08
p231  d 3.0  m 3.34540300763e-08
p232  d 3.0  m 3.34540300763e-08
p233  d 3.0  m 3.34540300763e-08
p234  d 3.0  m 3.34540300763e-08
p235  d 3.0  m 3.34540300763e-08
p236  d 3.0  m 3.34540300763e-08
p237  d 3.0  m 3.34540300763e-08
p238  d 3.0  m 3.34540300763e-08
p239  d 3.0  m 3.34540300763e-08
p240  d 3.0  m 3.30121964357e-08
p241  d 3.0  m 3.30121964357e-08
p242  d 3.0  m 3.30121964357e-08
p243  d 3.0  m 3.30121964357e-08
p244  d 3.0  m 3.30121964357e-08
p245  d 3.0  m 3.30121964357e-08
p246  d 3.0  m 3.30121964357e-08
p247  d 3.0  m 3.30121964357e-08
p248  d 3.0  m 3.30121964357e-08
p249  d 3.0  m 3.30121964357e-08
p250  d 3.0  m 3.01288263752e-08
p251  d 3.0  m 3.01288263752e-08
p252  d 3.0  m 3.01288263752e-08
p253  d 3.0  m 3.01288263752e-08
p254  d 3.0  m 3.01288263752e-08
p255  d 3.0  m 3.01288263752e-08
  0.323641998298  9.23108551466e-05  0.254974749582  349.799569327  155.674700152  296.611571397  0  0  0
p256  d 3.0  m 3.01288263752e-08
p257  d 3.0  m 3.01288263752e-08
p258  d 3.0  m 3.01288263752e-08
p259  d 3.0  m 3.01288263752e-08
p260  d 3.0  m 3.59918868561e-08
p261  d 3.0  m 3.59918868561e-08
p262  d 3.0  m 3.59918868561e-08
p263  d 3.0  m 3.59918868561e-08
p264  d 3.0  m 3.59918868561e-08
p265  d 3.0  m 3.59918868561e-08
p266  d 3.0  m 3.59918868561e-08
p267  d 3.0  m 3.59918868561e-08
p268  d 3.0  m 3.59918868561e-08
p269  d 3.0  m 3.59918868561e-08
p270  d 3.0  m 2.93413826482e-08
p271  d 3.0  m 2.93413826482e-08
p272  d 3.0  m 2.93413826482e-08
p273  d 3.0  m 2.93413826482e-08
p274  d 3.0  m 2.93413826482e-08
p275  d 3.0  m 2.93413826482e-08
p276  d 3.0  m 2.93413826482e-08
p277  d 3.0  m 2.93413826482e-08
p278  d 3.0  m 2.93413826482e-08
p279  d 3.0  m 2.93413826482e-08
  0.389733876367  9.8317107344e-05  0.700968293269  130.989767726  141.982299155  351.597719585  0  0  0
p280  d 3.0  m 5.18669853545e-08
p281  d 3.0  m 5.18669853545e-08
p282  d 3.0  m 5.18669853545e-08
p283  d 3.0  m 5.18669853545e-08
p284  d 3.0  m 5.18669853545e-08
p285  d 3.0  m 5.18669853545e-08
p286  d 3.0  m 5.18669853545e-08
p287  d 3.0  m 5.18669853545e-08
p288  d 3.0  m 5.18669853545e-08
p289  d 3.0  m 5.18669853545e-08
p290  d 3.0  m 3.60188309516e-08
p291  d 3.0  m 3.60188309516e-08
p292  d 3.0  m 3.60188309516e-08
p293  d 3.0  m 3.60188309516e-08
p294  d 3.0  m 3.60188309516e-08
p295  d 3.0  m 3.60188309516e-08
p296  d 3.0  m 3.60188309516e-08
p297  d 3.0  m 3.60188309516e-08
p298  d 3.0  m 3.60188309516e-08
p299  d 3.0  m 3.60188309516e-08
p300  d 3.0  m 5.32437709395e-08
p301  d 3.0  m 5.32437709395e-08
p302  d 3.0  m 5.32437709395e-08
p303  d 3.0  m 5.32437709395e-08
p304  d 3.0  m 5.32437709395e-08
p305  d 3.0  m 5.32437709395e-08
p306  d 3.0  m 5.32437709395e-08
p307  d 3.0  m 5.32437709395e-08
p308  d 3.0  m 5.32437709395e-08
p309  d 3.0  m 5.32437709395e-08
p310  d 3.0  m 4.89411076123e-08
p311  d 3.0  m 4.89411076123e-08
p312  d 3.0  m 4.89411076123e-08
p313  d 3.0  m 4.89411076123e-08
p314  d 3.0  m 4.89411076123e-08
p315  d 3.0  m 4.89411076123e-08
p316  d 3.0  m 4.89411076123e-08
p317  d 3.0  m 4.89411076123e-08
p318  d 3.0  m 4.89411076123e-08
p319  d 3.0  m 4.89411076123e-08
p320  d 3.0  m 6.26242327109e-08
p321  d 3.0  m 6.26242327109e-08
p322  d 3.0  m 6.26242327109e-08
p323  d 3.0  m 6.26242327109e-08
p324  d 3.0  m 6.26242327109e-08
p325  d 3.0  m 6.26242327109e-08
p326  d 3.0  m 6.26242327109e-08
p327  d 3.0  m 6.26242327109e-08
p328  d 3.0  m 6.26242327109e-08
p329  d 3.0  m 6.26242327109e-08
p330  d 3.0  m 4.53660162806e-08
p331  d 3.0  m 4.53660162806e-08
p332  d 3.0  m 4.53660162806e-08
p333  d 3.0  m 4.53660162806e-08
p334  d 3.0  m 4.53660162806e-08
p335  d 3.0  m 4.53660162806e-08
p336  d 3.0  m 4.53660162806e-08
p337  d 3.0  m 4.53660162806e-08
p338  d 3.0  m 4.53660162806e-08
p339  d 3.0  m 4.53660162806e-08
p340  d 3.0  m 7.19885333401e-08
p341  d 3.0  m 7.19885333401e-08
p342  d 3.0  m 7.19885333401e-08
p343  d 3.0  m 7.19885333401e-08
p344  d 3.0  m 7.19885333401e-08
p345  d 3.0  m 7.19885333401e-08
p346  d 3.0  m 7.19885333401e-08
p347  d 3.0  m 7.19885333401e-08
p348  d 3.0  m 7.19885333401e-08
p349  d 3.0  m 7.19885333401e-08
p350  d 3.0  m 5.0448858587e-08
p351  d 3.0  m 5.0448858587e-08
p352  d 3.0  m 5.0448858587e-08
p353  d 3.0  m 5.0448858587e-08
p354  d 3.0  m 5.0448858587e-08
p355  d 3.0  m 5.0448858587e-08
p356  d 3.0  m 5.0448858587e-08
p357  d 3.0  m 5.0448858587e-08
p358  d 3.0  m 5.0448858587e-08
p359  d 3.0  m 5.0448858587e-08
p360  d 3.0  m 8.04625518979e-08
p361  d 3.0  m 8.04625518979e-08
p362  d 3.0  m 8.04625518979e-08
p363  d 3.0  m 8.04625518979e-08
p364  d 3.0  m 8.04625518979e-08
p365  d 3.0  m 8.04625518979e-08
p366  d 3.0  m 8.04625518979e-08
p367  d 3.0  m 8.04625518979e-08
p368  d 3.0  m 8.04625518979e-08
p369  d 3.0  m 8.04625518979e-08
