)0+_06 Small-body initial data (WARNING: Do not delete this line!!)
style   Asteroid
p000  d 3.0  m 8.21797106662e-09
p001  d 3.0  m 8.21797106662e-09
p002  d 3.0  m 8.21797106662e-09
p003  d 3.0  m 8.21797106662e-09
p004  d 3.0  m 8.21797106662e-09
p005  d 3.0  m 8.21797106662e-09
p006  d 3.0  m 8.21797106662e-09
p007  d 3.0  m 8.21797106662e-09
p008  d 3.0  m 8.21797106662e-09
p009  d 3.0  m 8.21797106662e-09
p010  d 3.0  m 6.61104174568e-09
p011  d 3.0  m 6.61104174568e-09
p012  d 3.0  m 6.61104174568e-09
p013  d 3.0  m 6.61104174568e-09
p014  d 3.0  m 6.61104174568e-09
p015  d 3.0  m 6.61104174568e-09
p016  d 3.0  m 6.61104174568e-09
p017  d 3.0  m 6.61104174568e-09
p018  d 3.0  m 6.61104174568e-09
p019  d 3.0  m 6.61104174568e-09
p020  d 3.0  m 8.78753445297e-09
p021  d 3.0  m 8.78753445297e-09
p022  d 3.0  m 8.78753445297e-09
p023  d 3.0  m 8.78753445297e-09
p024  d 3.0  m 8.78753445297e-09
p025  d 3.0  m 8.78753445297e-09
p026  d 3.0  m 8.78753445297e-09
p027  d 3.0  m 8.78753445297e-09
p028  d 3.0  m 8.78753445297e-09
p029  d 3.0  m 8.78753445297e-09
p030  d 3.0  m 1.0885290865e-08
p031  d 3.0  m 1.0885290865e-08
p032  d 3.0  m 1.0885290865e-08
p033  d 3.0  m 1.0885290865e-08
p034  d 3.0  m 1.0885290865e-08
p035  d 3.0  m 1.0885290865e-08
p036  d 3.0  m 1.0885290865e-08
p037  d 3.0  m 1.0885290865e-08
p038  d 3.0  m 1.0885290865e-08
p039  d 3.0  m 1.0885290865e-08
p040  d 3.0  m 1.30349157175e-08
p041  d 3.0  m 1.30349157175e-08
p042  d 3.0  m 1.30349157175e-08
p043  d 3.0  m 1.30349157175e-08
p044  d 3.0  m 1.30349157175e-08
p045  d 3.0  m 1.30349157175e-08
p046  d 3.0  m 1.30349157175e-08
p047  d 3.0  m 1.30349157175e-08
p048  d 3.0  m 1.30349157175e-08
p049  d 3.0  m 1.30349157175e-08
p050  d 3.0  m 8.53162949119e-09
p051  d 3.0  m 8.53162949119e-09
p052  d 3.0  m 8.53162949119e-09
p053  d 3.0  m 8.53162949119e-09
p054  d 3.0  m 8.53162949119e-09
