)0+_06 Small-body initial data (WARNING: Do not delete this line!!)
style   Asteroid
000  d 3.0  m 8.21797106662e-09
001  d 3.0  m 8.21797106662e-09
002  d 3.0  m 8.21797106662e-09
003  d 3.0  m 8.21797106662e-09
004  d 3.0  m 8.21797106662e-09
005  d 3.0  m 8.21797106662e-09
006  d 3.0  m 8.21797106662e-09
007  d 3.0  m 8.21797106662e-09
008  d 3.0  m 8.21797106662e-09
009  d 3.0  m 8.21797106662e-09
010  d 3.0  m 6.61104174568e-09
011  d 3.0  m 6.61104174568e-09
012  d 3.0  m 6.61104174568e-09
013  d 3.0  m 6.61104174568e-09
014  d 3.0  m 6.61104174568e-09
015  d 3.0  m 6.61104174568e-09
016  d 3.0  m 6.61104174568e-09
017  d 3.0  m 6.61104174568e-09
018  d 3.0  m 6.61104174568e-09
019  d 3.0  m 6.61104174568e-09
020  d 3.0  m 8.78753445297e-09
021  d 3.0  m 8.78753445297e-09
022  d 3.0  m 8.78753445297e-09
023  d 3.0  m 8.78753445297e-09
024  d 3.0  m 8.78753445297e-09
025  d 3.0  m 8.78753445297e-09
026  d 3.0  m 8.78753445297e-09
027  d 3.0  m 8.78753445297e-09
028  d 3.0  m 8.78753445297e-09
029  d 3.0  m 8.78753445297e-09
030  d 3.0  m 1.0885290865e-08
031  d 3.0  m 1.0885290865e-08
032  d 3.0  m 1.0885290865e-08
033  d 3.0  m 1.0885290865e-08
034  d 3.0  m 1.0885290865e-08
035  d 3.0  m 1.0885290865e-08
036  d 3.0  m 1.0885290865e-08
037  d 3.0  m 1.0885290865e-08
038  d 3.0  m 1.0885290865e-08
039  d 3.0  m 1.0885290865e-08
040  d 3.0  m 1.30349157175e-08
041  d 3.0  m 1.30349157175e-08
042  d 3.0  m 1.30349157175e-08
043  d 3.0  m 1.30349157175e-08
044  d 3.0  m 1.30349157175e-08
045  d 3.0  m 1.30349157175e-08
046  d 3.0  m 1.30349157175e-08
047  d 3.0  m 1.30349157175e-08
048  d 3.0  m 1.30349157175e-08
049  d 3.0  m 1.30349157175e-08
050  d 3.0  m 8.53162949119e-09
051  d 3.0  m 8.53162949119e-09
052  d 3.0  m 8.53162949119e-09
053  d 3.0  m 8.53162949119e-09
054  d 3.0  m 8.53162949119e-09
055  d 3.0  m 8.53162949119e-09
056  d 3.0  m 8.53162949119e-09
057  d 3.0  m 8.53162949119e-09
058  d 3.0  m 8.53162949119e-09
059  d 3.0  m 8.53162949119e-09
060  d 3.0  m 1.11754741503e-08
061  d 3.0  m 1.11754741503e-08
062  d 3.0  m 1.11754741503e-08
